,ScenarioID,CountryID,TechID,JSTypeVSMID,TechDescription,TransTypeID,VehTypeID,MassCatID,VKM
101,1,9,9220.0,3,Road-Large (car)-Euro 2 (1996-2001)-Passenger Transport,1.0,3.0,3.0,0.0061752039785714285
102,1,9,230.0,1,Road-Large (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,3.0,0.0021794837571428574
103,1,9,230.0,2,Road-Large (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,3.0,0.0010897418785714287
104,1,9,230.0,3,Road-Large (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,3.0,0.0010897418785714287
105,1,9,9230.0,1,Road-Large (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,3.0,0.012350407957142857
106,1,9,9230.0,2,Road-Large (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,3.0,0.0061752039785714285
107,1,9,9230.0,3,Road-Large (car)-Euro 3 (2001-05)-Passenger Transport,1.0,3.0,3.0,0.0061752039785714285
108,1,9,240.0,1,Road-Large (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,3.0,0.0021794837571428574
109,1,9,240.0,2,Road-Large (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,3.0,0.0010897418785714287
110,1,9,240.0,3,Road-Large (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,3.0,0.0010897418785714287
111,1,9,9240.0,1,Road-Large (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,3.0,0.012350407957142857
112,1,9,9240.0,2,Road-Large (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,3.0,0.0061752039785714285
113,1,9,9240.0,3,Road-Large (car)-Euro 4 (2005-09)-Passenger Transport,1.0,3.0,3.0,0.0061752039785714285
114,1,9,200.0,1,Road-Large (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,3.0,0.0021794837571428574
115,1,9,200.0,2,Road-Large (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,3.0,0.0010897418785714287
116,1,9,200.0,3,Road-Large (car)-Euro 5 (2009-14)-Passenger Transport,1.0,3.0,3.0,0.0010897418785714287
