,Vehicle category,Segment,CountryID,TechID,Age,TransTypeID,VehTypeID,MassCatID,EngineID,FuelID,NumVeh
289,Passenger cars,"PC petrol <1,4L",9,120.0,25,1.0,3.0,1.0,6.0,1.0,84.69685714285714
302,Passenger cars,"PC petrol <1,4L",9,9120.0,5,1.0,3.0,1.0,6.0,1.0,479.9488571428571
303,Passenger cars,"PC petrol <1,4L",9,9120.0,6,1.0,3.0,1.0,6.0,1.0,959.8977142857142
304,Passenger cars,"PC petrol <1,4L",9,9120.0,7,1.0,3.0,1.0,6.0,1.0,3359.6419999999994
305,Passenger cars,"PC petrol <1,4L",9,9120.0,8,1.0,3.0,1.0,6.0,1.0,3839.5908571428567
306,Passenger cars,"PC petrol <1,4L",9,9120.0,9,1.0,3.0,1.0,6.0,1.0,5279.437428571428
307,Passenger cars,"PC petrol <1,4L",9,9120.0,10,1.0,3.0,1.0,6.0,1.0,4799.488571428571
308,Passenger cars,"PC petrol <1,4L",9,9120.0,11,1.0,3.0,1.0,6.0,1.0,4319.539714285714
309,Passenger cars,"PC petrol <1,4L",9,9120.0,12,1.0,3.0,1.0,6.0,1.0,3839.5908571428567
310,Passenger cars,"PC petrol <1,4L",9,9120.0,13,1.0,3.0,1.0,6.0,1.0,3359.6419999999994
311,Passenger cars,"PC petrol <1,4L",9,9120.0,14,1.0,3.0,1.0,6.0,1.0,3359.6419999999994
312,Passenger cars,"PC petrol <1,4L",9,9120.0,15,1.0,3.0,1.0,6.0,1.0,2399.7442857142855
313,Passenger cars,"PC petrol <1,4L",9,9120.0,16,1.0,3.0,1.0,6.0,1.0,2399.7442857142855
314,Passenger cars,"PC petrol <1,4L",9,9120.0,17,1.0,3.0,1.0,6.0,1.0,2879.6931428571424
315,Passenger cars,"PC petrol <1,4L",9,9120.0,18,1.0,3.0,1.0,6.0,1.0,1439.8465714285712
316,Passenger cars,"PC petrol <1,4L",9,9120.0,19,1.0,3.0,1.0,6.0,1.0,1439.8465714285712
317,Passenger cars,"PC petrol <1,4L",9,9120.0,20,1.0,3.0,1.0,6.0,1.0,959.8977142857142
318,Passenger cars,"PC petrol <1,4L",9,9120.0,21,1.0,3.0,1.0,6.0,1.0,959.8977142857142
319,Passenger cars,"PC petrol <1,4L",9,9120.0,22,1.0,3.0,1.0,6.0,1.0,479.9488571428571
320,Passenger cars,"PC petrol <1,4L",9,9120.0,23,1.0,3.0,1.0,6.0,1.0,479.9488571428571
321,Passenger cars,"PC petrol <1,4L",9,9120.0,24,1.0,3.0,1.0,6.0,1.0,479.9488571428571
322,Passenger cars,"PC petrol <1,4L",9,9120.0,25,1.0,3.0,1.0,6.0,1.0,479.9488571428571
335,Passenger cars,"PC petrol <1,4L",9,80.0,5,1.0,3.0,1.0,14.0,1.0,84.69685714285714
336,Passenger cars,"PC petrol <1,4L",9,80.0,6,1.0,3.0,1.0,14.0,1.0,169.39371428571428
337,Passenger cars,"PC petrol <1,4L",9,80.0,7,1.0,3.0,1.0,14.0,1.0,592.8779999999999
338,Passenger cars,"PC petrol <1,4L",9,80.0,8,1.0,3.0,1.0,14.0,1.0,677.5748571428571
339,Passenger cars,"PC petrol <1,4L",9,80.0,9,1.0,3.0,1.0,14.0,1.0,931.6654285714285
340,Passenger cars,"PC petrol <1,4L",9,80.0,10,1.0,3.0,1.0,14.0,1.0,846.9685714285713
341,Passenger cars,"PC petrol <1,4L",9,80.0,11,1.0,3.0,1.0,14.0,1.0,762.2717142857142
342,Passenger cars,"PC petrol <1,4L",9,80.0,12,1.0,3.0,1.0,14.0,1.0,677.5748571428571
343,Passenger cars,"PC petrol <1,4L",9,80.0,13,1.0,3.0,1.0,14.0,1.0,592.8779999999999
344,Passenger cars,"PC petrol <1,4L",9,80.0,14,1.0,3.0,1.0,14.0,1.0,592.8779999999999
345,Passenger cars,"PC petrol <1,4L",9,80.0,15,1.0,3.0,1.0,14.0,1.0,423.48428571428565
346,Passenger cars,"PC petrol <1,4L",9,80.0,16,1.0,3.0,1.0,14.0,1.0,423.48428571428565
347,Passenger cars,"PC petrol <1,4L",9,80.0,17,1.0,3.0,1.0,14.0,1.0,508.18114285714285
348,Passenger cars,"PC petrol <1,4L",9,80.0,18,1.0,3.0,1.0,14.0,1.0,254.09057142857142
349,Passenger cars,"PC petrol <1,4L",9,80.0,19,1.0,3.0,1.0,14.0,1.0,254.09057142857142
350,Passenger cars,"PC petrol <1,4L",9,80.0,20,1.0,3.0,1.0,14.0,1.0,169.39371428571428
351,Passenger cars,"PC petrol <1,4L",9,80.0,21,1.0,3.0,1.0,14.0,1.0,169.39371428571428
352,Passenger cars,"PC petrol <1,4L",9,80.0,22,1.0,3.0,1.0,14.0,1.0,84.69685714285714
353,Passenger cars,"PC petrol <1,4L",9,80.0,23,1.0,3.0,1.0,14.0,1.0,84.69685714285714
