CountryID,TechID,Age,TransTypeID,VehTypeID,MassCatID,EngineID,FuelID,NumVeh
9,90.0,14,1.0,3.0,1.0,3.0,1.0,592.8779999999999
9,90.0,15,1.0,3.0,1.0,3.0,1.0,423.4842857142857
9,90.0,16,1.0,3.0,1.0,3.0,1.0,423.4842857142857
9,90.0,17,1.0,3.0,1.0,3.0,1.0,508.1811428571429
9,90.0,18,1.0,3.0,1.0,3.0,1.0,254.09057142857145
9,90.0,19,1.0,3.0,1.0,3.0,1.0,254.09057142857145
9,90.0,20,1.0,3.0,1.0,3.0,1.0,169.39371428571428
9,90.0,21,1.0,3.0,1.0,3.0,1.0,169.39371428571428
9,90.0,22,1.0,3.0,1.0,3.0,1.0,84.69685714285714
9,90.0,23,1.0,3.0,1.0,3.0,1.0,84.69685714285714
9,90.0,24,1.0,3.0,1.0,3.0,1.0,84.69685714285714
9,90.0,25,1.0,3.0,1.0,3.0,1.0,84.69685714285714
9,100.0,5,1.0,3.0,1.0,4.0,1.0,84.69685714285714
9,100.0,6,1.0,3.0,1.0,4.0,1.0,169.39371428571428
9,100.0,7,1.0,3.0,1.0,4.0,1.0,592.8779999999999
9,100.0,8,1.0,3.0,1.0,4.0,1.0,677.5748571428571
9,100.0,9,1.0,3.0,1.0,4.0,1.0,931.6654285714284
9,100.0,10,1.0,3.0,1.0,4.0,1.0,846.9685714285713
9,100.0,11,1.0,3.0,1.0,4.0,1.0,762.2717142857142
9,100.0,12,1.0,3.0,1.0,4.0,1.0,677.5748571428571
9,100.0,13,1.0,3.0,1.0,4.0,1.0,592.8779999999999
9,100.0,14,1.0,3.0,1.0,4.0,1.0,592.8779999999999
9,100.0,15,1.0,3.0,1.0,4.0,1.0,423.4842857142857
9,100.0,16,1.0,3.0,1.0,4.0,1.0,423.4842857142857
9,100.0,17,1.0,3.0,1.0,4.0,1.0,508.1811428571429
9,100.0,18,1.0,3.0,1.0,4.0,1.0,254.09057142857145
9,100.0,19,1.0,3.0,1.0,4.0,1.0,254.09057142857145
9,100.0,20,1.0,3.0,1.0,4.0,1.0,169.39371428571428
9,100.0,21,1.0,3.0,1.0,4.0,1.0,169.39371428571428
9,100.0,22,1.0,3.0,1.0,4.0,1.0,84.69685714285714
9,100.0,23,1.0,3.0,1.0,4.0,1.0,84.69685714285714
9,100.0,24,1.0,3.0,1.0,4.0,1.0,84.69685714285714
9,100.0,25,1.0,3.0,1.0,4.0,1.0,84.69685714285714
9,110.0,5,1.0,3.0,1.0,5.0,1.0,84.69685714285714
9,110.0,6,1.0,3.0,1.0,5.0,1.0,169.39371428571428
9,110.0,7,1.0,3.0,1.0,5.0,1.0,592.8779999999999
9,110.0,8,1.0,3.0,1.0,5.0,1.0,677.5748571428571
9,110.0,9,1.0,3.0,1.0,5.0,1.0,931.6654285714284
9,110.0,10,1.0,3.0,1.0,5.0,1.0,846.9685714285713
9,110.0,11,1.0,3.0,1.0,5.0,1.0,762.2717142857142
9,110.0,12,1.0,3.0,1.0,5.0,1.0,677.5748571428571
9,110.0,13,1.0,3.0,1.0,5.0,1.0,592.8779999999999
9,110.0,14,1.0,3.0,1.0,5.0,1.0,592.8779999999999
9,110.0,15,1.0,3.0,1.0,5.0,1.0,423.4842857142857
9,110.0,16,1.0,3.0,1.0,5.0,1.0,423.4842857142857
9,110.0,17,1.0,3.0,1.0,5.0,1.0,508.1811428571429
9,110.0,18,1.0,3.0,1.0,5.0,1.0,254.09057142857145
9,110.0,19,1.0,3.0,1.0,5.0,1.0,254.09057142857145
9,110.0,20,1.0,3.0,1.0,5.0,1.0,169.39371428571428
9,110.0,21,1.0,3.0,1.0,5.0,1.0,169.39371428571428
9,110.0,22,1.0,3.0,1.0,5.0,1.0,84.69685714285714
9,110.0,23,1.0,3.0,1.0,5.0,1.0,84.69685714285714
9,110.0,24,1.0,3.0,1.0,5.0,1.0,84.69685714285714
9,110.0,25,1.0,3.0,1.0,5.0,1.0,84.69685714285714
9,120.0,5,1.0,3.0,1.0,6.0,1.0,84.69685714285714
9,120.0,6,1.0,3.0,1.0,6.0,1.0,169.39371428571428
9,120.0,7,1.0,3.0,1.0,6.0,1.0,592.8779999999999
9,120.0,8,1.0,3.0,1.0,6.0,1.0,677.5748571428571
9,120.0,9,1.0,3.0,1.0,6.0,1.0,931.6654285714284
9,120.0,10,1.0,3.0,1.0,6.0,1.0,846.9685714285713
9,120.0,11,1.0,3.0,1.0,6.0,1.0,762.2717142857142
9,120.0,12,1.0,3.0,1.0,6.0,1.0,677.5748571428571
9,120.0,13,1.0,3.0,1.0,6.0,1.0,592.8779999999999
9,120.0,14,1.0,3.0,1.0,6.0,1.0,592.8779999999999
9,120.0,15,1.0,3.0,1.0,6.0,1.0,423.4842857142857
9,120.0,16,1.0,3.0,1.0,6.0,1.0,423.4842857142857
9,120.0,17,1.0,3.0,1.0,6.0,1.0,508.1811428571429
9,120.0,18,1.0,3.0,1.0,6.0,1.0,254.09057142857145
9,120.0,19,1.0,3.0,1.0,6.0,1.0,254.09057142857145
9,120.0,20,1.0,3.0,1.0,6.0,1.0,169.39371428571428
9,120.0,21,1.0,3.0,1.0,6.0,1.0,169.39371428571428
9,120.0,22,1.0,3.0,1.0,6.0,1.0,84.69685714285714
9,120.0,23,1.0,3.0,1.0,6.0,1.0,84.69685714285714
9,120.0,24,1.0,3.0,1.0,6.0,1.0,84.69685714285714
9,120.0,25,1.0,3.0,1.0,6.0,1.0,84.69685714285714
9,130.0,4,1.0,3.0,2.0,1.0,1.0,20.412857142857145
9,130.0,5,1.0,3.0,2.0,1.0,1.0,20.412857142857145
9,130.0,6,1.0,3.0,2.0,1.0,1.0,20.412857142857145
9,130.0,7,1.0,3.0,2.0,1.0,1.0,183.71571428571428
9,130.0,8,1.0,3.0,2.0,1.0,1.0,244.95428571428573
9,130.0,9,1.0,3.0,2.0,1.0,1.0,326.60571428571427
9,130.0,10,1.0,3.0,2.0,1.0,1.0,306.1928571428571
9,130.0,11,1.0,3.0,2.0,1.0,1.0,224.54142857142853
9,130.0,12,1.0,3.0,2.0,1.0,1.0,224.54142857142853
9,130.0,13,1.0,3.0,2.0,1.0,1.0,142.89
9,130.0,14,1.0,3.0,2.0,1.0,1.0,102.0642857142857
9,130.0,15,1.0,3.0,2.0,1.0,1.0,81.65142857142857
9,130.0,16,1.0,3.0,2.0,1.0,1.0,61.23857142857143
9,130.0,17,1.0,3.0,2.0,1.0,1.0,61.23857142857143
9,130.0,18,1.0,3.0,2.0,1.0,1.0,20.412857142857145
