ScenarioID,CountryID,TechID,JSTypeVSMID,TechDescription,TransTypeID,VehTypeID,MassCatID,VKM
1,9,810.0,1,Road-Mini (bus)-Euro 3 (2001-05)-Freight Transport,2.0,4.0,11.0,0.00076569275
1,9,810.0,2,Road-Mini (bus)-Euro 3 (2001-05)-Freight Transport,2.0,4.0,11.0,0.00076569275
1,9,810.0,3,Road-Mini (bus)-Euro 3 (2001-05)-Freight Transport,2.0,4.0,11.0,0.000382846375
1,9,850.0,1,Road-Mini (bus)-Euro 4 (2005-09)-Freight Transport,2.0,4.0,11.0,0.00076569275
1,9,850.0,2,Road-Mini (bus)-Euro 4 (2005-09)-Freight Transport,2.0,4.0,11.0,0.00076569275
1,9,850.0,3,Road-Mini (bus)-Euro 4 (2005-09)-Freight Transport,2.0,4.0,11.0,0.000382846375
1,9,870.0,1,Road-Urban (bus)-Conventional (pre-EURO)-Passenger Transport,1.0,4.0,12.0,0.1266114285714286
1,9,870.0,2,Road-Urban (bus)-Conventional (pre-EURO)-Passenger Transport,1.0,4.0,12.0,0.1266114285714286
1,9,870.0,3,Road-Urban (bus)-Conventional (pre-EURO)-Passenger Transport,1.0,4.0,12.0,0.0633057142857143
1,9,890.0,1,Road-Urban (bus)-Euro 4 (2005-09)-Passenger Transport,1.0,4.0,12.0,0.1266114285714286
1,9,890.0,2,Road-Urban (bus)-Euro 4 (2005-09)-Passenger Transport,1.0,4.0,12.0,0.1266114285714286
1,9,890.0,3,Road-Urban (bus)-Euro 4 (2005-09)-Passenger Transport,1.0,4.0,12.0,0.0633057142857143
1,9,970.0,1,Road-Urban (bus)-Euro 1 (1992-96)-Passenger Transport,1.0,4.0,12.0,0.1266114285714286
1,9,970.0,2,Road-Urban (bus)-Euro 1 (1992-96)-Passenger Transport,1.0,4.0,12.0,0.1266114285714286
1,9,970.0,3,Road-Urban (bus)-Euro 1 (1992-96)-Passenger Transport,1.0,4.0,12.0,0.0633057142857143
1,9,980.0,1,Road-Urban (bus)-Euro 2 (1996-2001)-Passenger Transport,1.0,4.0,12.0,0.1266114285714286
1,9,980.0,2,Road-Urban (bus)-Euro 2 (1996-2001)-Passenger Transport,1.0,4.0,12.0,0.1266114285714286
