Year,Scenario,Tech.VehType,Tech.Fuel,Value
2030,"Kujinao (""Know yourself"")",Bus,"Biodiesel (FT, synthetic)",2513588.3136008773
2030,"Kujinao (""Know yourself"")",Bus,Bioethanol(85)-petrol(15) blend,1307743.2609953638
2030,"Kujinao (""Know yourself"")",Bus,Compressed Natural Gas,7568511.093268181
2030,"Kujinao (""Know yourself"")",Bus,Liquified Petroleum Gas,7400960.860251545
2030,"Kujinao (""Know yourself"")",Bus,Gaseous Hydrogen,4.943620304787013
2030,"Kujinao (""Know yourself"")",Truck,Diesel,19142791239.423122
2030,"Kujinao (""Know yourself"")",Truck,Electricity,119561134.52052447
2030,"Kujinao (""Know yourself"")",Truck,Gasoline,3813420560.9171095
2030,"Kujinao (""Know yourself"")",Truck,Compressed Natural Gas,413346.38808621134
2030,"Kujinao (""Know yourself"")",Truck,Liquified Petroleum Gas,7195.22552117269
2030,"Kujinao (""Know yourself"")",Train,Electricity,40398303.00280303
2030,"Kujinao (""Know yourself"")",Train,Diesel,28727835.84008907
2030,"Kujinao (""Know yourself"")",Ship,Diesel,1898164.6971951681
2030,"Kujinao (""Know yourself"")",Aeroplane,Aviation fuel (Jet A-1),62167114.48684006
2030,"Kujinao (""Know yourself"")",Aeroplane,Electricity,1637835.4230255338
2030,"Kujinao (""Know yourself"")",Aeroplane,Liquefied Hydrogen,1469.6936170288668
2040,"Kujinao (""Know yourself"")",Motorcycle,Gasoline,923635642.4694915
2040,"Kujinao (""Know yourself"")",Motorcycle,Electricity,38496110561.20079
2040,"Kujinao (""Know yourself"")",Motorcycle,Gaseous Hydrogen,5.871196320783585
2040,"Kujinao (""Know yourself"")",Car,Gasoline,17902492393.75856
2040,"Kujinao (""Know yourself"")",Car,Diesel,13589733013.23711
2040,"Kujinao (""Know yourself"")",Car,Electricity,7738331603.577658
2040,"Kujinao (""Know yourself"")",Bus,Gasoline,39907475.76937534
2040,"Kujinao (""Know yourself"")",Bus,Diesel,3880844868.66814
2040,"Kujinao (""Know yourself"")",Bus,Electricity,4017344803.604708
2040,"Kujinao (""Know yourself"")",Bus,"Biodiesel (FT, synthetic)",1533201.4146045563
2040,"Kujinao (""Know yourself"")",Bus,Bioethanol(85)-petrol(15) blend,718509.6896308162
2040,"Kujinao (""Know yourself"")",Bus,Compressed Natural Gas,33.757740602879984
2040,"Kujinao (""Know yourself"")",Bus,Liquified Petroleum Gas,10.07975480860068
2040,"Kujinao (""Know yourself"")",Bus,Gaseous Hydrogen,18.53695198728023
2040,"Kujinao (""Know yourself"")",Truck,Diesel,32353447764.951702
2040,"Kujinao (""Know yourself"")",Truck,Electricity,2787189640.298637
2040,"Kujinao (""Know yourself"")",Truck,Gasoline,3189691512.7693753
2040,"Kujinao (""Know yourself"")",Train,Electricity,158721371.38940406
2040,"Kujinao (""Know yourself"")",Train,Diesel,59386225.09972096
2040,"Kujinao (""Know yourself"")",Ship,Diesel,1959820.908780326
2040,"Kujinao (""Know yourself"")",Aeroplane,Aviation fuel (Jet A-1),66939941.1602853
2040,"Kujinao (""Know yourself"")",Aeroplane,Electricity,13832721.160724754
2040,"Kujinao (""Know yourself"")",Aeroplane,Liquefied Hydrogen,8033.716202504601
2050,"Kujinao (""Know yourself"")",Motorcycle,Electricity,48838785913.247025
2050,"Kujinao (""Know yourself"")",Motorcycle,Gasoline,274898672.4764109
2050,"Kujinao (""Know yourself"")",Motorcycle,Gaseous Hydrogen,6.827954812660405
2050,"Kujinao (""Know yourself"")",Car,Gasoline,11820957497.180277
2050,"Kujinao (""Know yourself"")",Car,Diesel,10530901171.177242
2050,"Kujinao (""Know yourself"")",Car,Electricity,24095137828.632
2050,"Kujinao (""Know yourself"")",Bus,Gasoline,4690453.984380839
2050,"Kujinao (""Know yourself"")",Bus,Diesel,2906960806.573976
2050,"Kujinao (""Know yourself"")",Bus,Electricity,6212556378.048647
2050,"Kujinao (""Know yourself"")",Bus,Bioethanol(85)-petrol(15) blend,96060.45772525555
2050,"Kujinao (""Know yourself"")",Bus,Gaseous Hydrogen,33.95173014952845
2050,"Kujinao (""Know yourself"")",Bus,"Biodiesel (FT, synthetic)",907050.5432191564
2050,"Kujinao (""Know yourself"")",Truck,Diesel,42645881617.46114
2050,"Kujinao (""Know yourself"")",Truck,Electricity,8688611182.749773
2050,"Kujinao (""Know yourself"")",Truck,Gasoline,3320429242.5906954
2050,"Kujinao (""Know yourself"")",Train,Electricity,316927666.24109995
2050,"Kujinao (""Know yourself"")",Train,Diesel,99875266.11827266
2050,"Kujinao (""Know yourself"")",Ship,Diesel,1988358.038943258
2050,"Kujinao (""Know yourself"")",Aeroplane,Aviation fuel (Jet A-1),63857028.25673437
2050,"Kujinao (""Know yourself"")",Aeroplane,Electricity,38601713.49515432
2050,"Kujinao (""Know yourself"")",Aeroplane,Liquefied Hydrogen,41685.46700178407
2015,Streetfighting,Motorcycle,Gasoline,17289538025.85602
2015,Streetfighting,Motorcycle,Electricity,785834912.2107024
2015,Streetfighting,Motorcycle,Gaseous Hydrogen,0.922137394221423
2015,Streetfighting,Car,Gasoline,12167670821.98204
2015,Streetfighting,Car,Diesel,9692305074.939905
2015,Streetfighting,Car,Electricity,156977.6910552711
2015,Streetfighting,Bus,Diesel,5087542748.31792
2015,Streetfighting,Bus,Gasoline,96695013.11145726
2015,Streetfighting,Bus,Electricity,12412323.114403976
2015,Streetfighting,Bus,"Biodiesel (FT, synthetic)",3054986.3623275356
2015,Streetfighting,Bus,Bioethanol(85)-petrol(15) blend,65364.252033184275
2015,Streetfighting,Bus,Compressed Natural Gas,40216195.57170198
2015,Streetfighting,Bus,Liquified Petroleum Gas,39718162.2684002
2015,Streetfighting,Truck,Diesel,9870919867.752064
2015,Streetfighting,Truck,Gasoline,3248396603.339644
2015,Streetfighting,Truck,Compressed Natural Gas,16673940.64133987
2015,Streetfighting,Train,Electricity,6207132.219969942
2015,Streetfighting,Train,Diesel,14548495.850249304
2015,Streetfighting,Ship,Diesel,1644317.337195389
2015,Streetfighting,Aeroplane,Aviation fuel (Jet A-1),44102872.76778039
2030,Streetfighting,Motorcycle,Gasoline,13031711954.623466
2030,Streetfighting,Motorcycle,Electricity,12604702318.08722
2030,Streetfighting,Motorcycle,Gaseous Hydrogen,38.629475451745726
2030,Streetfighting,Car,Gasoline,17764314744.542725
2030,Streetfighting,Car,Diesel,14295977081.676432
2030,Streetfighting,Car,Electricity,70193250.75012751
2030,Streetfighting,Bus,Diesel,5254420118.454278
2030,Streetfighting,Bus,Gasoline,123321276.9120654
2030,Streetfighting,Bus,Electricity,926681831.1974272
2030,Streetfighting,Bus,"Biodiesel (FT, synthetic)",2853358.345644318
2030,Streetfighting,Bus,Bioethanol(85)-petrol(15) blend,1408526.7877765873
2030,Streetfighting,Bus,Compressed Natural Gas,3943458.432331677
2030,Streetfighting,Bus,Liquified Petroleum Gas,3776868.0565529
2030,Streetfighting,Bus,Gaseous Hydrogen,12.67233792900945
2030,Streetfighting,Truck,Diesel,20452386855.97177
2030,Streetfighting,Truck,Gasoline,8424990036.722871
2030,Streetfighting,Truck,Compressed Natural Gas,64902.02883924208
2030,Streetfighting,Train,Electricity,6423423.537171404
2030,Streetfighting,Train,Diesel,23885463.251607776
2030,Streetfighting,Ship,Diesel,1859618.5182104823
2030,Streetfighting,Aeroplane,Aviation fuel (Jet A-1),60378962.961749464
2030,Streetfighting,Aeroplane,Electricity,1097212.297281658
2030,Streetfighting,Aeroplane,Liquefied Hydrogen,1051.8894848488003
2040,Streetfighting,Motorcycle,Gasoline,6109136553.718144
2040,Streetfighting,Motorcycle,Electricity,24816205902.170677
2040,Streetfighting,Motorcycle,Gaseous Hydrogen,118.56194859216635
2040,Streetfighting,Car,Gasoline,23108846354.75635
2040,Streetfighting,Car,Diesel,15048344983.11633
2040,Streetfighting,Car,Electricity,601982891.1183037
2040,Streetfighting,Bus,Gasoline,54910750.01303614
2040,Streetfighting,Bus,Diesel,5936387031.677131
2040,Streetfighting,Bus,Electricity,1630267807.5288482
2040,Streetfighting,Bus,"Biodiesel (FT, synthetic)",2333065.610373717
2040,Streetfighting,Bus,Bioethanol(85)-petrol(15) blend,1078877.1685354975
2040,Streetfighting,Bus,Compressed Natural Gas,29.12005792055079
2040,Streetfighting,Bus,Liquified Petroleum Gas,4.90526952390269
2040,Streetfighting,Bus,Gaseous Hydrogen,64.28206929254277
2040,Streetfighting,Truck,Diesel,29683093425.241577
2040,Streetfighting,Truck,Gasoline,13039991160.722565
2040,Streetfighting,Train,Electricity,7308455.541520748
2040,Streetfighting,Train,Diesel,34201083.804243565
2040,Streetfighting,Ship,Diesel,1946911.0882255377
2040,Streetfighting,Aeroplane,Aviation fuel (Jet A-1),62229529.30153269
2040,Streetfighting,Aeroplane,Electricity,15311309.49661019
2040,Streetfighting,Aeroplane,Liquefied Hydrogen,6958.208258467384
2050,Streetfighting,Motorcycle,Electricity,31640446433.322624
2050,Streetfighting,Motorcycle,Gasoline,4599535048.007965
2050,Streetfighting,Motorcycle,Gaseous Hydrogen,171.95645881512567
2050,Streetfighting,Car,Gasoline,27868367206.77275
2050,Streetfighting,Car,Diesel,16442111936.092295
2050,Streetfighting,Car,Electricity,1109610571.5303466
2050,Streetfighting,Bus,Gasoline,9125629.844731972
2050,Streetfighting,Bus,Diesel,6147318249.761406
2050,Streetfighting,Bus,Electricity,2795105409.307783
2050,Streetfighting,Bus,"Biodiesel (FT, synthetic)",1869691.6664378936
2050,Streetfighting,Bus,Bioethanol(85)-petrol(15) blend,209219.79827074497
2050,Streetfighting,Bus,Gaseous Hydrogen,147.2774098926211
2050,Streetfighting,Truck,Diesel,38192490461.28385
2050,Streetfighting,Truck,Gasoline,18289396001.883656
2050,Streetfighting,Train,Electricity,8117847.58684553
2050,Streetfighting,Train,Diesel,48185217.12009918
2050,Streetfighting,Ship,Diesel,1998288.6151410593
2050,Streetfighting,Aeroplane,Aviation fuel (Jet A-1),51551272.267701626
2050,Streetfighting,Aeroplane,Electricity,45358843.22467608
2050,Streetfighting,Aeroplane,Liquefied Hydrogen,33504.24908088457
