Year,Scenario,Tech.VehType,Tech.Fuel,Value
2030,"Kujinao (""Know yourself"")",Car,Electricity,7659.846874952633
2030,"Kujinao (""Know yourself"")",Bus,Diesel,124279.4559240965
2030,"Kujinao (""Know yourself"")",Bus,Gasoline,4366.728958666796
2030,"Kujinao (""Know yourself"")",Bus,Electricity,56346.51810209883
2030,"Kujinao (""Know yourself"")",Bus,"Biodiesel (FT, synthetic)",69.7747832627931
2030,"Kujinao (""Know yourself"")",Bus,Bioethanol(85)-petrol(15) blend,48.72103307952789
2030,"Kujinao (""Know yourself"")",Bus,Compressed Natural Gas,217.71145381436529
2030,"Kujinao (""Know yourself"")",Bus,Liquified Petroleum Gas,213.192699332096
2030,"Kujinao (""Know yourself"")",Truck,Diesel,95321.35218614036
2030,"Kujinao (""Know yourself"")",Truck,Electricity,595.0348626044047
2030,"Kujinao (""Know yourself"")",Truck,Gasoline,21591.302509746172
2030,"Kujinao (""Know yourself"")",Truck,Compressed Natural Gas,0.678575462350371
2030,"Kujinao (""Know yourself"")",Truck,Liquified Petroleum Gas,0.0118121352094719
2030,"Kujinao (""Know yourself"")",Train,Electricity,3627.613401810708
2030,"Kujinao (""Know yourself"")",Train,Diesel,1076.1056294441007
2030,"Kujinao (""Know yourself"")",Ship,Diesel,173.56591098805566
2030,"Kujinao (""Know yourself"")",Aeroplane,Aviation fuel (Jet A-1),398.5995474695537
2030,"Kujinao (""Know yourself"")",Aeroplane,Electricity,14.755693016573812
2030,"Kujinao (""Know yourself"")",Aeroplane,Liquefied Hydrogen,0.002590668585980893
2040,"Kujinao (""Know yourself"")",Motorcycle,Gasoline,57604.39321064686
2040,"Kujinao (""Know yourself"")",Motorcycle,Electricity,2400887.2177144424
2040,"Kujinao (""Know yourself"")",Motorcycle,Gaseous Hydrogen,0.000267398513642547
2040,"Kujinao (""Know yourself"")",Car,Gasoline,528813.7761220167
2040,"Kujinao (""Know yourself"")",Car,Diesel,362375.89144069556
2040,"Kujinao (""Know yourself"")",Car,Electricity,195018.4857601358
2040,"Kujinao (""Know yourself"")",Bus,Gasoline,1412.31046987508
2040,"Kujinao (""Know yourself"")",Bus,Diesel,103434.0186224551
2040,"Kujinao (""Know yourself"")",Bus,Electricity,109002.87641088771
2040,"Kujinao (""Know yourself"")",Bus,Bioethanol(85)-petrol(15) blend,25.42759675229064
2040,"Kujinao (""Know yourself"")",Bus,Compressed Natural Gas,0.0008979232044453972
2040,"Kujinao (""Know yourself"")",Bus,Liquified Petroleum Gas,0.000264695958446828
2040,"Kujinao (""Know yourself"")",Bus,"Biodiesel (FT, synthetic)",40.784698148946966
2040,"Kujinao (""Know yourself"")",Bus,Gaseous Hydrogen,0.00018001673197432
2040,"Kujinao (""Know yourself"")",Truck,Diesel,124995.79372609354
2040,"Kujinao (""Know yourself"")",Truck,Electricity,9827.444824724706
2040,"Kujinao (""Know yourself"")",Truck,Gasoline,13161.31235641591
2040,"Kujinao (""Know yourself"")",Train,Electricity,5132.232843593319
2040,"Kujinao (""Know yourself"")",Train,Diesel,1463.6244531926275
2040,"Kujinao (""Know yourself"")",Ship,Diesel,199.30370473020682
2040,"Kujinao (""Know yourself"")",Aeroplane,Aviation fuel (Jet A-1),360.9756451497418
2040,"Kujinao (""Know yourself"")",Aeroplane,Electricity,125.31350470054893
2040,"Kujinao (""Know yourself"")",Aeroplane,Liquefied Hydrogen,0.011935648805462057
2050,"Kujinao (""Know yourself"")",Motorcycle,Electricity,2986078.041822508
2050,"Kujinao (""Know yourself"")",Motorcycle,Gasoline,16807.7254725798
2050,"Kujinao (""Know yourself"")",Motorcycle,Gaseous Hydrogen,0.000417471608585629
2050,"Kujinao (""Know yourself"")",Car,Gasoline,388731.5048947488
2050,"Kujinao (""Know yourself"")",Car,Diesel,308504.2644873534
2050,"Kujinao (""Know yourself"")",Car,Electricity,725980.5116540128
2050,"Kujinao (""Know yourself"")",Bus,Gasoline,161.9817835789007
2050,"Kujinao (""Know yourself"")",Bus,Diesel,75877.5493063701
2050,"Kujinao (""Know yourself"")",Bus,Electricity,165426.17666508944
2050,"Kujinao (""Know yourself"")",Bus,Bioethanol(85)-petrol(15) blend,3.3172857062963934
2050,"Kujinao (""Know yourself"")",Bus,Gaseous Hydrogen,0.0007912597407084832
2050,"Kujinao (""Know yourself"")",Bus,"Biodiesel (FT, synthetic)",23.480752092138655
2050,"Kujinao (""Know yourself"")",Truck,Diesel,156692.27602300205
2050,"Kujinao (""Know yourself"")",Truck,Electricity,29186.93648421123
2050,"Kujinao (""Know yourself"")",Truck,Gasoline,12704.614643062907
2050,"Kujinao (""Know yourself"")",Train,Electricity,5538.320835128943
2050,"Kujinao (""Know yourself"")",Train,Diesel,1529.203298378574
2050,"Kujinao (""Know yourself"")",Ship,Diesel,200.3999747987321
2050,"Kujinao (""Know yourself"")",Aeroplane,Aviation fuel (Jet A-1),190.66126388800132
2050,"Kujinao (""Know yourself"")",Aeroplane,Electricity,318.41553356789484
2050,"Kujinao (""Know yourself"")",Aeroplane,Liquefied Hydrogen,0.046150833625546256
2015,Streetfighting,Motorcycle,Gasoline,999120.137939454
2015,Streetfighting,Motorcycle,Electricity,45411.4794921875
2015,Streetfighting,Car,Gasoline,332802.6987543559
2015,Streetfighting,Car,Diesel,206953.9220397286
2015,Streetfighting,Car,Electricity,4.396742290255134
2015,Streetfighting,Bus,Diesel,106613.4867680167
2015,Streetfighting,Bus,Gasoline,13832.13288844195
2015,Streetfighting,Bus,Electricity,241.0556785464287
2015,Streetfighting,Bus,Bioethanol(85)-petrol(15) blend,9.300975232865312
2015,Streetfighting,Bus,Compressed Natural Gas,873.7166087627406
2015,Streetfighting,Bus,Liquified Petroleum Gas,864.051230192184
2015,Streetfighting,Bus,"Biodiesel (FT, synthetic)",61.29639617353676
2015,Streetfighting,Truck,Diesel,46149.82950742942
2015,Streetfighting,Truck,Gasoline,13317.282169926675
2015,Streetfighting,Truck,Compressed Natural Gas,76.8614209317926
2015,Streetfighting,Train,Electricity,941.9874553907434
2015,Streetfighting,Train,Diesel,433.70072816639055
2015,Streetfighting,Ship,Diesel,50.10000109885426
2015,Streetfighting,Aeroplane,Aviation fuel (Jet A-1),129.11013285353266
2030,Streetfighting,Motorcycle,Gasoline,859755.9372759463
2030,Streetfighting,Motorcycle,Electricity,831584.3440075521
2030,Streetfighting,Motorcycle,Gaseous Hydrogen,0.00245304724558082
2030,Streetfighting,Car,Gasoline,455853.89004127815
2030,Streetfighting,Car,Diesel,341163.6672201343
2030,Streetfighting,Car,Electricity,1502.8874820926214
2030,Streetfighting,Bus,Diesel,146244.04538839473
2030,Streetfighting,Bus,Gasoline,5104.730815185824
2030,Streetfighting,Bus,Electricity,25889.628848186527
2030,Streetfighting,Bus,"Biodiesel (FT, synthetic)",80.00555897417743
2030,Streetfighting,Bus,Bioethanol(85)-petrol(15) blend,58.30154579894909
2030,Streetfighting,Bus,Compressed Natural Gas,111.20092340700926
2030,Streetfighting,Bus,Liquified Petroleum Gas,106.596361124447
2030,Streetfighting,Bus,Gaseous Hydrogen,0.000208565238608571
2030,Streetfighting,Truck,Diesel,72521.10666576582
2030,Streetfighting,Truck,Gasoline,35031.46284470112
2030,Streetfighting,Truck,Compressed Natural Gas,0.078747567009516
2030,Streetfighting,Train,Electricity,2679.1840955848966
2030,Streetfighting,Train,Diesel,2025.5711720774932
2030,Streetfighting,Ship,Diesel,50.10000091096027
2030,Streetfighting,Aeroplane,Aviation fuel (Jet A-1),192.80588046416523
2030,Streetfighting,Aeroplane,Electricity,4.63825014512986
2030,Streetfighting,Aeroplane,Liquefied Hydrogen,0.000744292990020767
2040,Streetfighting,Motorcycle,Gasoline,393453.9849198683
2040,Streetfighting,Motorcycle,Electricity,1598267.5949236117
2040,Streetfighting,Motorcycle,Gaseous Hydrogen,0.007635885881668968
2040,Streetfighting,Car,Gasoline,651051.5911079946
2040,Streetfighting,Car,Diesel,387235.09473017155
2040,Streetfighting,Car,Electricity,15099.90938865454
2040,Streetfighting,Bus,Gasoline,2094.1133380357383
2040,Streetfighting,Bus,Diesel,160461.49046888243
2040,Streetfighting,Bus,Electricity,45406.20746742663
2040,Streetfighting,Bus,Bioethanol(85)-petrol(15) blend,41.14457282879386
2040,Streetfighting,Bus,Compressed Natural Gas,0.0007856838334700769
2040,Streetfighting,Bus,Liquified Petroleum Gas,0.000132348343555324
2040,Streetfighting,Bus,"Biodiesel (FT, synthetic)",63.30634276842661
2040,Streetfighting,Bus,Gaseous Hydrogen,0.0015240825055116139
2040,Streetfighting,Truck,Diesel,85139.79475854264
2040,Streetfighting,Truck,Gasoline,42565.37972234132
2040,Streetfighting,Train,Electricity,3506.7256938263304
2040,Streetfighting,Train,Diesel,3089.363370266715
2040,Streetfighting,Ship,Diesel,50.0999987413827
2040,Streetfighting,Aeroplane,Aviation fuel (Jet A-1),161.30098841432792
2040,Streetfighting,Aeroplane,Electricity,62.04013687884437
2040,Streetfighting,Aeroplane,Liquefied Hydrogen,0.003850436147331494
2050,Streetfighting,Motorcycle,Electricity,1999512.6945968706
2050,Streetfighting,Motorcycle,Gasoline,290666.847223144
2050,Streetfighting,Motorcycle,Gaseous Hydrogen,0.0108510881418624
2050,Streetfighting,Car,Gasoline,860043.7243882893
2050,Streetfighting,Car,Diesel,463334.91785183473
2050,Streetfighting,Car,Electricity,33093.5215612862
2050,Streetfighting,Bus,Gasoline,338.00415595487993
2050,Streetfighting,Bus,Diesel,162139.34962185536
2050,Streetfighting,Bus,Electricity,76164.83705539073
2050,Streetfighting,Bus,Bioethanol(85)-petrol(15) blend,7.749177354823159
2050,Streetfighting,Bus,Gaseous Hydrogen,0.003829833849067656
2050,Streetfighting,Bus,"Biodiesel (FT, synthetic)",49.34836196666938
2050,Streetfighting,Truck,Diesel,102727.83160164907
2050,Streetfighting,Truck,Gasoline,55280.42446874722
2050,Streetfighting,Train,Electricity,3550.074393946623
2050,Streetfighting,Train,Diesel,3517.449858896844
2050,Streetfighting,Ship,Diesel,50.0999976936107
2050,Streetfighting,Aeroplane,Aviation fuel (Jet A-1),77.76435693494399
2050,Streetfighting,Aeroplane,Electricity,173.28669109725163
2050,Streetfighting,Aeroplane,Liquefied Hydrogen,0.015980370784291154
